Temp,Vis
739.9367109,29.87410835
743.5104115,29.15450749
747.2104717,28.22930639
752.0205498,27.11155902
756.0906159,26.33239936
761.5270263,25.02514671
765.0529838,24.443146
770.5208504,23.38301488
776.4409466,22.32656004
784.5810789,21.07001211
790.5787834,20.1996263
795.5654713,19.51931008
804.5614035,18.24096905
809.7414877,17.55971426
816.4015959,16.70100689
824.9117342,15.74167505
830.1960704,15.23202087
834.7433225,14.84955569
844.1520468,13.87622862
851.182161,13.32328856
857.8422692,12.79093078
